day,stage,start,end,artist
25 SAT,WHITE STAGE,15:30,16:30,Kroi
25 SAT,WHITE STAGE,17:50,18:50,JOEY VALENCE & BRAE
25 SAT,WHITE STAGE,19:50,20:50,XG
25 SAT,WHITE STAGE,22:00,23:15,TOMORA
25 SAT,RED MARQUEE,10:20,11:00,ブランデー戦記
25 SAT,RED MARQUEE,11:30,12:10,SIX LOUNGE
25 SAT,RED MARQUEE,12:40,13:30,QUADECA
25 SAT,RED MARQUEE,14:00,15:00,THE BETHS
25 SAT,RED MARQUEE,16:00,17:00,cero
25 SAT,RED MARQUEE,18:00,19:00,THURSTON MOORE GROUP
25 SAT,RED MARQUEE,20:10,21:10,サニーデイ・サービス
25 SAT,RED MARQUEE,23:30,24:20,唾奇
25 SAT,RED MARQUEE,24:30,26:00,KELLY LEE OWENS (DJ)
25 SAT,RED MARQUEE,26:00,27:30,Weval DJ Set
25 SAT,RED MARQUEE,27:30,29:00,Soichi Terada
25 SAT,FIELD OF HEAVEN,11:10,12:00,柴田聡子(BAND SET)
25 SAT,FIELD OF HEAVEN,12:50,13:50,YUUF
25 SAT,FIELD OF HEAVEN,14:40,15:40,LA LOM
25 SAT,FIELD OF HEAVEN,16:40,17:40,OAU
25 SAT,FIELD OF HEAVEN,18:30,19:40,KOKOROKO
25 SAT,FIELD OF HEAVEN,20:30,22:00,BADBADNOTGOOD
25 SAT,ORANGE ECHO,10:50,11:30,来島エル
25 SAT,ORANGE ECHO,12:15,12:55,タデクイ
25 SAT,ORANGE ECHO,13:50,14:30,neco眠る
25 SAT,ORANGE ECHO,15:40,16:20,CADEJO
25 SAT,ORANGE ECHO,17:50,18:30,DMBQ
25 SAT,ORANGE ECHO,19:50,20:30,Bongjeingan
25 SAT,GYPSY AVALON,11:00,12:00,ケロポンズ
25 SAT,GYPSY AVALON,13:00,13:50,MASH弦楽団
25 SAT,GYPSY AVALON,14:40,15:20,アトミック・カフェ トーク【福島事故から15年】
25 SAT,GYPSY AVALON,16:30,17:20,梅井美咲
25 SAT,GYPSY AVALON,18:50,19:40,中西レモン＆すずめのティアーズ
25 SAT,GYPSY AVALON,20:50,21:50,jizue
25 SAT,CRYSTAL PALACE TENT,22:30,23:45,BABY SOUL
25 SAT,CRYSTAL PALACE TENT,23:45,24:30,STOMPIN' RIFFRAFFS
25 SAT,CRYSTAL PALACE TENT,24:30,25:30,GAZ MAYALL
25 SAT,CRYSTAL PALACE TENT,25:30,26:15,THE KING LION
25 SAT,CRYSTAL PALACE TENT,26:15,27:15,KING NABE
25 SAT,CRYSTAL PALACE TENT,27:15,28:00,ZIONHILL SESSION
25 SAT,CRYSTAL PALACE TENT,28:00,29:00,RUBY FLASHMAN
25 SAT,PALACE ARENA,24:30,24:45,SAKURA CIRCUS
25 SAT,PALACE ARENA,25:30,25:45,SAKURA CIRCUS
25 SAT,PALACE ARENA,26:30,26:45,SAKURA CIRCUS
25 SAT,ROOKIE A GO-GO,22:00,22:30,A_Root同根生
25 SAT,ROOKIE A GO-GO,23:00,23:30,mayu
